Doel;Doel_SOAtest;Screeningsprofiel;Screeningsprofiel_uitgeschreven;Screeningsprofiel_SOAtest;Doel toelichting;In functie;In naam Belanghebbende;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;Tot;FA1;FA2;FA3;FA4;FA5;FA6;FA7;FA8;FA9;FA10
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;mw (in) direct zorg voor kinderen / huisgenoot;;84;86;;;;;;;;;2;Belast zijn met de zorg voor minderjarigen;Kinderopvang (alleen aanvinken in combinatie met andere functieaspecten);;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;gastouder;;84;86;;;;;;;;;2;Belast zijn met de zorg voor minderjarigen;Kinderopvang (alleen aanvinken in combinatie met andere functieaspecten);;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;huisgenoot van gastouder;;84;86;;;;;;;;;2;Belast zijn met de zorg voor minderjarigen;Kinderopvang (alleen aanvinken in combinatie met andere functieaspecten);;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;gastouder (huisgenoot);;84;86;;;;;;;;;2;Belast zijn met de zorg voor minderjarigen;Kinderopvang (alleen aanvinken in combinatie met andere functieaspecten);;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);;;;;zelfstandig houder gastouderbureau;;84;86;;;;;;;;;2;Belast zijn met de zorg voor minderjarigen;Kinderopvang (alleen aanvinken in combinatie met andere functieaspecten);;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);60;Onderwijs / Education;label=Onderwijs / Education;;docent in opleiding;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);60;Onderwijs / Education;label=Onderwijs / Education;;docent ;;41;43;;;;;;;;;2;Het verlenen van diensten (advies, beveiliging, schoonmaak, catering, onderhoud, etc.);Het verlenen van diensten in de persoonlijke leefomgeving;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);60;Onderwijs / Education;label=Onderwijs / Education;;leerkracht;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);60;Onderwijs / Education;label=Onderwijs / Education;;vakleerkracht;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);60;Onderwijs / Education;label=Onderwijs / Education;;groepsleerkracht;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);60;Onderwijs / Education;label=Onderwijs / Education;;leerkracht in opleiding;;;;;;;;;;;;0;;;;;;;;;;
