RADAR_ENG;RADAR_DUT
controldataset;StuurgegevensSet
deviationtype;DeviatieType
event;Gebeurtenis
eventtype;GebeurtenisType
lifecourseevent;Levensloopmoment
lifecourseeventset;LevensloopmomentSet
lifecourseeventtype;LevensloopmomentType
masterset;MasterSet
naturalperson;Natuurlijkpersoon
nonnaturalperson;Nietnatuurlijkpersoon
person;Persoon
position;Functie
positionfulfillment;Functievervulling
positionset;FunctieRolSet
relation;Relatie
simulation;Simulatie
simulationtype;SimulatieType
source;Bronvraag
sourceinformation;Broninformatie
sourceinformationtype;Bronvraagcode
test;Toets
testpersonscore;OnderzoekssubjectScore
testresult;Toetsresultaat
testresultindicator;ToetsresultaatIndicator
testresultphenomenon;Toetsresultaatverschijnsel
testresultprofile;Toetsresultaatprofiel
testset;Toetsset
